CODE,NAME
8918,(株)ランド
4564,オンコセラピー・サイエンス(株)
1360,日経平均ベア2倍上場投信
9432,ＮＴＴ(株)
8729,ソニーフィナンシャルグループ(株)
9984,ソフトバンクグループ(株)
6740,(株)ジャパンディスプレイ
9434,ソフトバンク(株)
5803,(株)フジクラ
4597,ソレイジア・ファーマ(株)
9501,東京電力ホールディングス(株)
1306,(NEXT FUNDS)TOPIX連動型上場投信
5016,ＪＸ金属(株)
5401,日本製鉄(株)
8306,(株)三菱ＵＦＪフィナンシャル・グループ
6723,ルネサスエレクトロニクス(株)
3350,(株)メタプラネット
4506,住友ファーマ(株)
285A,キオクシアホールディングス(株)
7201,日産自動車(株)
7013,(株)ＩＨＩ
8604,野村ホールディングス(株)
1579,日経平均ブル2倍上場投信
7203,トヨタ自動車(株)
6857,(株)アドバンテスト
1459,楽天 ETF-日経ダブルインバース指数連動型
6501,(株)日立製作所
7011,三菱重工業(株)
6954,ファナック(株)
4568,第一三共(株)
6758,ソニーグループ(株)
3103,ユニチカ(株)
7267,ホンダ
6762,ＴＤＫ(株)
6085,アーキテクツ・スタジオ・ジャパン(株)
6963,ローム(株)
6701,ＮＥＣ
3656,ＫＬａｂ(株)
6752,パナソニック　ホールディングス(株)
3936,(株)グローバルウェイ
7211,三菱自動車(株)
3436,(株)ＳＵＭＣＯ
8001,伊藤忠商事(株)
4689,ＬＩＮＥヤフー(株)
6902,(株)デンソー
8136,(株)サンリオ
543A,ＡＲＣＨＩＯＮ(株)
7012,川崎重工業(株)
8113,ユニ・チャーム(株)
8058,三菱商事(株)
